Audio,English,Persian G Translate,Persian Bamooz,English Alternatives,German,German Alternatives,Level,Part of Speech,Picture,Plural and inflected forms,Sample sentence,Thing
{{22 0 0.mp3}},therapy,درمان,درمان، معالجه,the therapy,die Therapie,Therapie,83,noun,{{22 7 0.jpg}},die Therapien,Die Therapie hilft vor allem jüngeren Patienten.,24518916
{{23 0 0.mp3}},week,هفته,هفته,the week,die Woche,Woche,11,noun,{{23 7 0.jpg}},die Wochen,In der nächsten Woche sind Prüfungen.,23637977
{{24 0 0.mp3}},to stare,خیره شدن,زل زدن,stare,starren,,78,verb,{{24 7 0.jpg}},starrt; starrte; hat gestarrt,"Dietmar starrt ins Leere, er denkt nach.",24508319
{{25 0 0.mp3}},"to care, cultivate",مراقبت کردن,مراقبت کردن، پرستاری کردن / عادت داشتن / دوستدار چیزی بودن، به چیزی علاقه‌مند بودن,foster,pflegen,,64,verb,{{25 7 0.jpg}},pflegt; pflegte; hat gepflegt,Kakteen muss man wenig pflegen.,24384345
{{26 0 0.mp3}},June,ژوئن,ژوئن، ماه ششم میلادی,the June,der Juni,,72,noun,{{26 7 0.jpg}},die Junis,Im Juni beginnen die Prüfungen.,24501952
{{27 0 0.mp3}},motive,انگیزه,انگیزه، علت / بن‌مایه، موتیف، عنصر تکرارشونده,,das Motiv,,98,noun,{{27 7 0.jpg}},die Motive,Was für ein Motiv hatte der Täter?,24546816
{{28 0 0.mp3}},in the middle,در وسط,در مرکز، وسط,,in der Mitte,,36,,{{28 7 0.jpg}},,In der Mitte des Zimmers steht ein großer Tisch.,24216724
{{29 0 0.mp3}},weakness,ضعف,ضعف، ناتوانی، عجز,,die Schwäche,,125,noun,{{29 7 0.jpg}},die Schwächen,Katja hat eine Schwäche für Schokolade.,24603646
{{30 0 0.mp3}},"to secure, safeguard",امن کردن، حفاظت کردن,پشتیبان گیری کردن (کامپیوتر) / محافظت کردن، ایمن کردن,secure,sichern,,52,verb,{{30 7 0.jpg}},sichert; sicherte; hat gesichert,Sichern Sie Ihren Arbeitsplatz!,24264904
{{31 0 0.mp3}},instead of,بجای,به جای,,statt,,34,prep,{{31 7 0.jpg}},,Das Buch kostet hier 9 statt 12 Euro.,24214940
{{32 0 0.mp3}},complicated,پیچیده,پیچیده,,kompliziert,,89,adj,{{32 7 0.jpg}},,Quantenphysik ist sehr kompliziert.,24520126
{{33 0 0.mp3}},every now and then,هر زمان و هر زمان,,,hin und wieder,,26,,{{33 7 0.jpg}},,Torsten besucht seine Eltern nur hin und wieder.,23914592
{{34 0 0.mp3}},to please,راضی شدن، خوش آمدن,پسندیدن، خوش آمدن، دوست داشتن / پذیرفتن، تن در دادن، تسلیم شدن، (sich gefallen) / لطف، محبت,be pleasing,gefallen,,26,verb,{{34 7 0.jpg}},gefällt; gefiel; hat gefallen,Das Lied gefällt mir.,24017448
{{35 0 0.mp3}},private,خصوصی,شخصی، خصوصی / به صورت شخصی، در روابط خصوصی,,privat,,32,adj,{{35 7 0.jpg}},,Das ist meine private Telefonnummer.,24124768
{{36 0 0.mp3}},"to insure, assert",مطمين شدن,بیمه کردن,ensure,versichern,,64,verb,{{36 7 0.jpg}},versichert; versicherte; hat versichert,"Sie versicherte, dass sie sich darum kümmern würde.",24384372
{{37 0 0.mp3}},real,واقعی,واقعی، حقیقی,,real,,95,adj,{{37 7 0.jpg}},,Eigentlich haben wir keine reale Chance mehr.,24545922
{{38 0 0.mp3}},"Arabian, Arabic",عربستان، عربی,عربی، عرب / زبان عربی,,arabisch,,80,adj,{{38 7 0.jpg}},,Arabischer Kaffee wird mit Gewürzen gekocht.,24518443
{{39 0 0.mp3}},to defend,دفاع کردن,دفاع کردن / از خود دفاع کردن، (sich verteidigen),,verteidigen,,116,,{{39 7 0.jpg}},verteidigt; verteidigte; hat verteidigt,Die Mannschaft verteidigte verbissen ihr Tor.,24583774
{{40 0 0.mp3}},to mention,اشاره کردن,نام بردن، ذکر کردن,mention,erwähnen,,46,verb,{{40 7 0.jpg}},erwähnt; erwähnte; hat erwähnt,Im Lebenslauf kann man seine Hobbys und Interessen erwähnen.,24236198
{{41 0 0.mp3}},number,عدد,شماره، عدد / شماره تلفن,,die Nummer,,48,noun,{{41 7 0.jpg}},die Nummern,Ziehen Sie eine Nummer und warten Sie!,24260908
{{42 0 0.mp3}},upper,بالا,گارسون / بالا، بالایی,,ober,,56,adj,{{42 7 0.jpg}},,Die oberen Fenster sind schon lange nicht mehr geputzt worden.,24278914
{{43 0 0.mp3}},statistics,آمار,آمار,,die Statistik,,122,noun,{{43 7 0.jpg}},die Statistiken,"Glaube nur der Statistik, die du selbst gefälscht hast.",24588690
{{44 0 0.mp3}},"to depict, portray",به تصویر کشیدن، به تصویر بکشد,تصویر کردن، تصویر چیزی را چاپ کردن,,abbilden,,129,verb,{{44 7 0.jpg}},bildet ab; bildete ab; hat abgebildet,Die Pflanzen sind naturgetreu abgebildet.,24606383
{{45 0 0.mp3}},gloomy,تیره، غمگین,تاریک، تیره‌وتار,,düster,,145,adj,{{45 7 0.jpg}},,"Heute war ein grauer, düsterer Tag.",24616335
{{46 0 0.mp3}},to survive,زنده ماندن,بقا,survive,überleben,,70,verb,{{46 7 0.jpg}},überlebt; überlebte; hat überlebt,Nur wenige Tiere überlebten den furchtbaren Sturm.,24476219
{{47 0 0.mp3}},skin,پوست,پوست,the skin,die Haut,Haut,47,noun,{{47 7 0.jpg}},die Häute,Sie hat eine schöne Haut.,24259728
{{48 0 0.mp3}},the one,یکی از,,,"derjenige, diejenige, dasjenige",,59,pron,{{48 7 0.jpg}},,"Derjenige, der zuerst eine Sechs würfelt, darf anfangen.",24280009
{{49 0 0.mp3}},"mountains, mountain range",کوه ها، رشته کوه,رشته کوه، کوهستان,,das Gebirge,,140,noun,{{49 7 0.jpg}},die Gebirge,Letzten Sommer fuhren wir ins Gebirge.,24613636
{{50 0 0.mp3}},to miss,دلتنگ شدن,دلتنگ شدن، دل (برای کسی/چیزی) تنگ شدن,,vermissen,,110,verb,{{50 7 0.jpg}},vermisst; vermisste; hat vermisst,Ich vermisse meinen Teddy.,24567584
{{51 0 0.mp3}},"attack, poster",حمله، پوستر,آگهی، اعلان / حمله، سوءقصد,impact,der Anschlag,,51,noun,{{51 7 0.jpg}},die Anschläge,Am Montag Abend ereignete sich ein Anschlag auf die Russische Botschaft.,24264489
{{52 0 0.mp3}},"to move out, take off",در آوردن، از جایی اثاث کشی کردن,در آوردن (لباس) / نقل مکان کردن، جا به جا شدن / بیرون کشیدن، استخراج کردن,,ausziehen,,99,verb,{{52 7 0.jpg}},zieht aus; zog aus; ist ausgezogen,"Nasse Strümpfe sollte man ausziehen, damit man sich nicht erkältet.",24548042
{{53 0 0.mp3}},adolescent,نوجوان,,,"der Jugendliche, die Jugendliche",,43,noun,{{53 7 0.jpg}},die Jugendlichen,Jugendliche ab 16 Jahren dürfen Alkohol kaufen.,24235183
{{54 0 0.mp3}},"to turn away, avert",جلوگیری کردن، رو برگرداندن,برگرداندن، برداشتن / جلوگیری کردن، پیشگیری کردن,,abwenden,,149,verb,{{54 7 0.jpg}},wendet ab; wendete ab; hat abgewendet,Sie konnten das Unglück gerade noch abwenden.,24619580
{{55 0 0.mp3}},to let go,اجازه رفتن دادن,,,loslassen,,163,verb,{{55 7 0.jpg}},lässt los; ließ los; hat losgelassen,"Wenn man einen Drachen loslässt, fliegt er weg.",24623273
{{56 0 0.mp3}},hall,سالن,سالن، اتاق بزرگ,,der Saal,,125,noun,{{56 7 0.jpg}},die Säle,Der Saal fasst 400 Personen.,24603628
{{57 0 0.mp3}},experimental,تجربی,تجربی، آزمایشی,,experimentell,,104,adj,{{57 7 0.jpg}},,"Sie versucht, ihre Theorie experimentell zu bestätigen.",24552930
{{58 0 0.mp3}},to one another,به یکدیگر,به‌همدیگر، باهمدیگر، در قبال همدیگر,,zueinander,,148,adv,{{58 7 0.jpg}},,Die Geschäftspartner waren sehr freundlich zueinander.,24619520
{{59 0 0.mp3}},school,مدرسه,مدرسه,the school,die Schule,Schule,11,noun,{{59 7 0.jpg}},die Schulen,Sie geht noch zur Schule.,23637900
{{60 0 0.mp3}},star,ستاره,ستاره,the star,der Stern,Stern,65,noun,{{60 7 0.jpg}},die Sterne,Heute sieht man viele Sterne.,24470324
{{61 0 0.mp3}},"reason, basis",دلیل، اساس,دلیل، منظور,,der Grund,Grund,12,noun,{{61 7 0.jpg}},die Gründe,"Du hast keinen Grund, böse zu sein.",23642246
{{62 0 0.mp3}},to inquire,پرس و جو کردن,,,sich erkundigen,,162,verb,{{62 7 0.jpg}},erkundigt sich; erkundigte sich; hat sich erkundigt,Erkundigen Sie sich beim Akademischen Auslandsamt nach Sprachkursen.,24622991
{{63 0 0.mp3}},poem,شعر,شعر,,das Gedicht,,101,noun,{{63 7 0.jpg}},die Gedichte,Anna liest gern Gedichte.,24552015
{{64 0 0.mp3}},bible,کتاب مقدس,انجیل، کتاب مقدس,,die Bibel,,108,noun,{{64 7 0.jpg}},die Bibeln,Die Bibel ist das meistverkaufte Buch.,24558907
{{65 0 0.mp3}},treatment,رفتار,درمان، مداوا / رفتار، برخورد,the treatment,die Behandlung,Behandlung,51,noun,{{65 7 0.jpg}},die Behandlungen,Für diese Krankheit gibt es eine neue Behandlung.,24264594
{{66 0 0.mp3}},"in, into",در، به,(به سمت) داخل، (به سمت) درون,,hinein,,95,adv,{{66 7 0.jpg}},,Die Ausstellung wurde bis in den Herbst hinein organisiert.,24545621
{{67 0 0.mp3}},"entry, admission",ورود، پذیرش,ورودیه (هزینه)، حق ورود,the admission,der Eintritt,Eintritt,156,noun,{{67 7 0.jpg}},die Eintritte,Der Eintritt ist frei.,24621887
{{68 0 0.mp3}},party conference/convention,کنفرانس حزب / کنوانسیون,,,der Parteitag,,153,noun,{{68 7 0.jpg}},die Parteitage,Der Vorschlag fand auf dem Parteitag breite Zustimmung.,24620521
{{69 0 0.mp3}},CD,سی دی,سی دی,,die CD,,90,noun,{{69 7 0.jpg}},die CDs,Ich habe mir neulich die neue CD von Nena gekauft.,24538924
{{70 0 0.mp3}},symbolic,نمادین,نمادی، نمادین، سمبولیک,,symbolisch,,141,adj,{{70 7 0.jpg}},,Diese Geste hatte symbolischen Wert.,24614190
{{71 0 0.mp3}},"from where, how",از کجا، چگونه,از کجا,,woher,,75,pron,{{71 7 0.jpg}},,"Woher weilst du, dass Ingrid ihren Mann verlassen hat?",24505825
{{72 0 0.mp3}},"to bump, push",هل دادن، فشار آوردن,ضربه زدن، برخورد کردن / ضربه خوردن، برخورد کردن، (sich stoßen),push,stoßen,,44,verb,{{72 7 0.jpg}},stößt; stieß; hat gestoßen,Dann hat sie ihn aus dem Bus gestoßen.,24235309
{{73 0 0.mp3}},invention,اختراع,اختراع,,die Erfindung,,150,noun,{{73 7 0.jpg}},die Erfindungen,Der Computer ist eine sehr nützliche Erfindung.,24619849
{{74 0 0.mp3}},to force,مجبور کردن,مجبور کردن,,zwingen,,51,verb,{{74 7 0.jpg}},zwingt; zwang; hat gezwungen,"Wir sind gezwungen, schärfere Kontrollen durchzuführen.",24264410
{{75 0 0.mp3}},born,بدنیا آمدن,متولد، زاده‌شده,,geboren,,40,adj,{{75 7 0.jpg}},,Meine Mutter wurde 1953 geboren.,24222153
{{76 0 0.mp3}},to hunt,شکارکردن,شکار کردن,,jagen,,135,verb,{{76 7 0.jpg}},jagt; jagte; hat gejagt,Die Jäger jagen im Wald Hirsche und Bären.,24609930
{{77 0 0.mp3}},October,اکتبر,اکتبر، ماه دهم میلادی,the October,der Oktober,Oktober,36,noun,{{77 7 0.jpg}},die Oktober,Im Oktober ist Erntedankfest.,24216734
{{78 0 0.mp3}},"to rescue, hide",نجات دادن، پنهان کردن,نجات دادن، رهایی بخشیدن,recover,bergen,,144,verb,{{78 7 0.jpg}},birgt; barg; hat geborgen,Die Verunglückten konnten erst nach Stunden geborgen werden.,24616093
{{79 0 0.mp3}},"condition, requirement",شرایط، نیاز,پیش‌نیاز، شرط,,die Voraussetzung,,41,noun,{{79 7 0.jpg}},die Voraussetzungen,Eine Wiederholung der Prüfung ist nur unter erschwerten Voraussetzungen möglich.,24222817
{{80 0 0.mp3}},inevitable,اجتناب ناپذیر,اجتناب‌ناپذیر / الزاما، به‌ناچار,,zwangsläufig,,149,adj,{{80 7 0.jpg}},,"Wenn man schneller geht, verbraucht man zwangsläufig mehr Energie.",24619558
{{81 0 0.mp3}},"to go back, decrease",به عقب رفتن، کاهش دادن,برگشتن,go back,zurückgehen,,67,verb,{{81 7 0.jpg}},geht zurück; ging zurück; ist zurückgegangen,Die Zahl der Autodiebstähle geht zurück.,24473894
{{82 0 0.mp3}},"to depend, rely on",بستگی داشتن، تکیه کردن,,,sich verlassen,,24,verb,{{82 7 0.jpg}},verläßt sich; verließ sich; hat sich verlassen,Ich verlasse mich auf dich.,23885349
{{83 0 0.mp3}},to earn money,پول درآوردن,,,Geld verdienen,,13,,{{83 7 0.jpg}},,"Die Arbeit macht Spaß, aber man verdient kein Geld damit.",23642730
{{84 0 0.mp3}},challenge,چالش,چالش,,die Herausforderung,,95,noun,{{84 7 0.jpg}},die Herausforderungen,Ich stelle mich gerne neuen Herausforderungen.,24545615
{{85 0 0.mp3}},to recommend,توصیه کردن,سفارش کردن، توصیه کردن,,empfehlen,,54,verb,{{85 7 0.jpg}},empfiehlt; empfahl; hat empfohlen,Der Chefkoch empfiehlt heute die Fischsuppe.,24269731
{{86 0 0.mp3}},to inform,خبر دادن,اطلاع کسب کردن، اطلاع جمع کردن / اطلاع دادن، مطلع کردن، (informieren),inform,informieren,,53,verb,{{86 7 0.jpg}},informiert; informierte; hat informiert,Die Tagesschau informiert über die aktuellen Geschehnisse.,24265117
{{87 0 0.mp3}},"to hope for, expect, anticipate",امید داشتن، انتظار داشتن,امید داشتن، امیدوار بودن,anticipate,erhoffen,,150,verb,{{87 7 0.jpg}},erhofft; erhoffte; hat erhofft,Durch Fortbildungen erhoffen sich viele Menschen bessere Chancen auf dem Arbeitsmarkt.,24619859
{{88 0 0.mp3}},to remember,به خاطر سپردن,,,sich erinnern,,21,verb,{{88 7 0.jpg}},erinnert sich; erinnerte sich; hat sich erinnert,Ich kann mich nicht daran erinnern.,23882766
{{89 0 0.mp3}},champion,قهرمان,قهرمان,,der Champion,,150,noun,{{89 7 0.jpg}},die Champions,"Wir sind die Champions, ole!",24619802
{{90 0 0.mp3}},down,پایین,(طبقه) پایین,,unten,,29,adv,{{90 7 0.jpg}},,Unten im Keller lagern noch 20 Weinflaschen.,24019713
{{91 0 0.mp3}},glasses,عینک,عینک,,die Brille,,144,noun,{{91 7 0.jpg}},die Brillen,Ich habe meine Brille verlegt.,24616232
{{92 0 0.mp3}},you,شما,تو، [ضمیر دوم شخص مفرد],,du,,3,pron,{{92 7 0.jpg}},,Du bist blöd.,23501441
{{93 0 0.mp3}},"to achieve, reach",رسیدن به، دستیابی پیدا کردن به,به‌دست آوردن، رسیدن,obtain,erzielen,,59,verb,{{93 7 0.jpg}},erzielt; erzielte; hat erzielt,Es wurden nicht die erhofften-Ergebnisse erzielt.,24280126
{{94 0 0.mp3}},powerful,قوی,قدرتمند، نیرومند، محکم، قوی,,mächtig,,73,adj,{{94 7 0.jpg}},,Mächtigen Worten folgen meist keine Taten.,24503248
{{95 0 0.mp3}},"resistance, opposition",مقاومت، مخالفت,پایداری، مقاومت، استحکام,the resistance,der Widerstand,Widerstand,82,noun,{{95 7 0.jpg}},die Widerstände,Die Ureinwohner leisteten lange Zeit Widerstand gegen die Kolonialisten.,24518797
{{96 0 0.mp3}},"need, demand",نیاز، تقاضا,تقاضا، درخواست، نیاز,,der Bedarf,,88,noun,{{96 7 0.jpg}},no plural,Der Bedarf an Fernsehgeräten ist gedeckt.,24519751
{{97 0 0.mp3}},"silence, peace",سکوت، صلح,سکوت، خاموشی,,die Stille,,110,noun,{{97 7 0.jpg}},no plural,Pettersson genoss die Stille.,24567267
{{98 0 0.mp3}},"quite, fairly",کاملا، نسبتا,زیاد، خیلی، نسبتا زیاد,,ziemlich,,22,adv,{{98 7 0.jpg}},,Das war ziemlich peinlich.,23884016
{{99 0 0.mp3}},living room,هال,اتاق نشیمن,,das Wohnzimmer,,155,noun,{{99 7 0.jpg}},die Wohnzimmer,Heute essen wir im Wohnzimmer.,24620939
{{100 0 0.mp3}},to present,حضور داشتن,ارائه کردن، معرفی کردن,present,präsentieren,,57,verb,{{100 7 0.jpg}},präsentiert; präsentierte; hat präsentiert,Die Kinder präsentieren einen Zaubertrick.,24279348
{{101 0 0.mp3}},strong,قوی,قوی، قدرتمند، محکم / شدید، غلیظ، انبوه,,stark,,11,adj,{{101 7 0.jpg}},,Angela ist eine starke Frau.,23637887
{{102 0 0.mp3}},"to flee, escape",فرار کردن,فرار کردن، گریختن,flee,fliehen,,120,verb,{{102 7 0.jpg}},flieht; floh; ist geflohen,Die Menschen fliehen vor dem Bürgerkrieg ins Nachbarland.,24588125
{{103 0 0.mp3}},to form,شکل دادن,شکل دادن، ساختن,,formen,,135,verb,{{103 7 0.jpg}},formt; formte; hat geformt,Aus dem Teig formen Sie ein kleines rundes Brot.,24609699
{{104 0 0.mp3}},"member, relative",عضو، نسبت,,,"der Angehörige, die Angehörige",,96,noun,{{104 7 0.jpg}},die Angehörigen,Die Angehörigen des Patienten müssen verständigt werden.,24546316
{{105 0 0.mp3}},graduate,فارغ التحصیل,فارق التحصیل,,der Absolvent,,161,noun,{{105 7 0.jpg}},die Absolventen,Die Absolventen werden feierlich verabschiedet.,24622758
{{106 0 0.mp3}},cave,غار,غار، حفره,,die Höhle,,146,noun,{{106 7 0.jpg}},die Höhlen,"Wir haben eine Höhle besichtigt, in der es Tropfsteine gibt.",24617000
{{107 0 0.mp3}},"dear, kind",عزیز، نوع,عزیز / محبت آمیز، از روی محبت / خوب، مودب / باب میل، خوشایند,,lieb,,38,adj,{{107 7 0.jpg}},,Alina ist ein liebes Kind.,24220863
{{108 0 0.mp3}},worry,نگران بودن,نگرانی، اضطراب,the worry,die Sorge,Sorge,49,noun,{{108 7 0.jpg}},die Sorgen,Mach dir keine Sorgen!,24261576
{{109 0 0.mp3}},nice,خوب,مهربان، خوش اخلاق، دلپذیر,,nett,,66,adj,{{109 7 0.jpg}},,Sie macht einen netten Eindruck.,24472385
{{110 0 0.mp3}},existence,وجود داشتن,وجود، هستی,,die Existenz,,97,noun,{{110 7 0.jpg}},die Existenzen,Die Existenz vieler Tierarten ist gefährdet.,24546637
{{111 0 0.mp3}},taste,طعم,سلیقه، علاقه / طعم، مزه / چشایی، حس چشایی، قابلیت تشخیص مزه,,der Geschmack,,115,noun,{{111 7 0.jpg}},die Geschmäcke,Jeder hat einen anderen Geschmack.,24581435
{{112 0 0.mp3}},"acceptance, assumption",پذیرش، فرض,فرض,,die Annahme,,96,noun,{{112 7 0.jpg}},die Annahmen,Unsere Annahmen erwiesen sich als falsch.,24546327
{{113 0 0.mp3}},future,آینده,آینده,the future,die Zukunft,Zukunft,25,noun,{{113 7 0.jpg}},no plural,In Zukunft werde ich weniger rauchen.,23885901
{{114 0 0.mp3}},"kitchen, cuisine",آشپزخانه,آشپزخانه / سبک آشپزی,the kitchen,die Küche,Küche,45,noun,{{114 7 0.jpg}},die Küchen,In der Küche duftet es nach Gewürzen.,24235715
{{115 0 0.mp3}},differentiation,تفکیک,,,die Differenzierung,,150,noun,{{115 7 0.jpg}},die Differenzierungen,Es geht vor allem um die soziale Differenzierung der Gesellschaft.,24619808
{{116 0 0.mp3}},on the floor,روی زمین,,,"am Boden, auf dem Boden",,22,,{{116 7 0.jpg}},,1) Am Boden sammeln sich Staubflocken. 2) Ein dicker grüner Teppich liegt auf dem Boden.,23884116
{{117 0 0.mp3}},"society, company",جامعه، شرکت,جامعه / شرکت / حضور، همراهی,the society,die Gesellschaft,Gesellschaft,14,noun,{{117 7 0.jpg}},die Gesellschaften,Eine multikulturelle Gesellschaft muss tolerant sein.,23643385
{{118 0 0.mp3}},beer,آبجو,آبجو,the beer,das Bier,Bier,75,noun,{{118 7 0.jpg}},die Biere,Sowohl Deutsche als auch Amerikaner trinken gerne Bier.,24505895
{{119 0 0.mp3}},"card, ticket, menu",کارت، بلیط، منوی,کارت، کارت پستال / منو / بلیط / ورق، پاستور / نقشه,map,die Karte,Karte,54,noun,{{119 7 0.jpg}},die Karten,Wieviel kostet eine Karte für das Konzert heute Abend?,24269579
{{120 0 0.mp3}},cup,فنجان,فنجان، فنجان دسته‌دار,the cup,die Tasse,Tasse,148,noun,{{120 7 0.jpg}},die Tassen,Ich trinke eine Tasse Tee.,24618858
{{121 0 0.mp3}},island,جزیره,جزیره,the island,die Insel,Insel,59,noun,{{121 7 0.jpg}},die Inseln,Rügen ist die größte deutsche Insel.,24279832
{{122 0 0.mp3}},gratefulness,سپاسگزاری,تشکر، ممنون / به خاطر، به یمن، در نتیجه,,der Dank,,33,noun,{{122 7 0.jpg}},no plural,Mein Dank ist dir gewiss.,24129973
{{123 0 0.mp3}},"to evoke, arouse, cause",باعث شدن، تحریک کردن,,,hervorrufen,,151,verb,{{123 7 0.jpg}},ruft hervor; rief hervor; hat hervorgerufen,Die Rede rief heftige Diskussionen hervor.,24620072
{{124 0 0.mp3}},election campaign,کمپین انتخاباتی,مبارزه انتخاباتی,,der Wahlkampf,,105,noun,{{124 7 0.jpg}},die Wahlkämpfe,Der Wahlkampf ist in seiner heißen Phase.,24553242
{{125 0 0.mp3}},"order, reservation",سفارش، رزرو,سفارش,,die Bestellung,,127,noun,{{125 7 0.jpg}},,Können wir die Bestellung aufgeben?,24605373
{{126 0 0.mp3}},(of) Hamburg,(از) هامبورگ,هامبورگی، اهل هامبورگ / همبرگر,,Hamburger,,106,adj,{{126 7 0.jpg}},,Sie arbeitet für ein Hamburger Unternehmen.,24553383
{{127 0 0.mp3}},profile,مشخصات,نمایه، پروفایل / نیم‌رخ,,das Profil,,168,noun,{{127 7 0.jpg}},die Profile,Winterreifen haben ein starkes Profil.,24624396
{{128 0 0.mp3}},"kindergarten, nursery school",مهد کودک، مهد کودک,مهد کودک,,der Kindergarten,,109,noun,{{128 7 0.jpg}},die Kindergärten,Lucy geht schon in den Kindergarten.,24566148
{{129 0 0.mp3}},"on what, of what",در چه، از آنچه,کنارِ چه؟، به چه؟ / که در کنار آن، که به آن، که مشغول آن,,woran,,155,pron,{{129 7 0.jpg}},,Woran ist sie gestorben?,24620944
{{130 0 0.mp3}},to release,رها ساختن,آزاد کردن، رها کردن,,freigeben,,151,verb,{{130 7 0.jpg}},gibt frei; gab frei; hat freigegeben,Das Baby wurde zur Adoption freigegeben.,24619918
